               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091277,            0.021342,            0.027179,             0.16438,             0.22955,            0.093685,            0.018009,            0.069061,            0.014672,            0.024694,            0.003285,            0.003285,            0.070435
                   1,             0.07241,            0.019281,            0.018944,             0.29436,             0.48486,             0.23276,            0.053115,            0.069635,            0.010297,           0.0090153,           0.0066118,           0.0066118,            0.040428
                   2,            0.067871,            0.015488,            0.010255,             0.39698,             0.63725,             0.41634,             0.10071,            0.065436,           0.0084123,           0.0062053,            0.009932,            0.009932,            0.010415
                   3,             0.05872,            0.013966,           0.0097039,             0.63625,             0.65479,             0.67889,             0.24026,            0.051252,           0.0080814,           0.0091968,           0.0099703,           0.0099703,           0.0099703
                   4,            0.050032,            0.012706,           0.0085277,             0.84322,             0.79689,             0.84079,             0.34475,            0.044322,           0.0071757,           0.0050367,           0.0099703,           0.0099703,           0.0099703
                   5,            0.046175,            0.012288,           0.0081479,             0.88763,             0.75394,             0.86084,             0.38651,            0.041423,           0.0072292,           0.0071767,           0.0099604,           0.0099604,           0.0099604
                   6,            0.043266,            0.011616,           0.0063534,             0.89176,             0.77772,               0.849,             0.34898,            0.045274,           0.0068283,           0.0053817,           0.0099505,           0.0099505,           0.0099505
                   7,            0.041658,            0.011601,           0.0070966,             0.88527,             0.83531,             0.90109,             0.43717,             0.03844,           0.0066433,           0.0065336,           0.0099406,           0.0099406,           0.0099406
                   8,             0.04137,             0.01101,           0.0060295,             0.88883,             0.86163,             0.88856,             0.36318,            0.042189,           0.0062068,           0.0034042,           0.0099307,           0.0099307,           0.0099307
                   9,            0.040335,            0.010505,           0.0053331,             0.90073,             0.87472,             0.92103,             0.44784,            0.037616,            0.006271,           0.0061439,           0.0099208,           0.0099208,           0.0099208
                  10,            0.039201,            0.010827,           0.0056104,             0.93616,             0.90459,             0.95598,             0.48732,            0.035121,           0.0062304,           0.0023676,           0.0099109,           0.0099109,           0.0099109
                  11,            0.038867,            0.010501,           0.0057543,             0.93006,             0.92457,             0.96003,             0.48705,            0.035466,           0.0059329,           0.0025883,            0.009901,            0.009901,            0.009901
                  12,            0.038625,            0.010302,           0.0051506,             0.93832,             0.89687,             0.94547,             0.44068,            0.037707,           0.0059827,           0.0024039,           0.0098911,           0.0098911,           0.0098911
