               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10004,            0.019707,            0.028029,             0.12413,             0.16703,            0.065312,             0.01529,            0.070454,            0.015356,            0.025874,           0.0032381,           0.0032381,            0.070857
                   1,            0.074347,            0.019277,            0.022824,             0.74443,             0.19132,             0.15731,            0.031154,            0.088904,            0.010369,            0.014809,           0.0065606,           0.0065606,            0.040846
                   2,             0.06893,            0.017549,            0.014463,              0.3756,             0.45241,             0.34181,            0.086338,            0.076172,            0.010286,            0.012048,           0.0098721,           0.0098721,            0.010824
                   3,            0.061096,            0.014637,            0.010874,             0.29939,             0.35585,             0.25383,            0.070731,            0.076798,            0.010282,            0.032617,           0.0099505,           0.0099505,           0.0099505
                   4,            0.051651,            0.013346,           0.0087481,             0.60822,              0.5676,             0.56238,             0.18038,            0.058095,           0.0099042,              0.0138,           0.0099505,           0.0099505,           0.0099505
                   5,            0.050484,             0.01282,           0.0079212,             0.80917,             0.69626,             0.76684,             0.27745,            0.047222,           0.0085163,           0.0089798,            0.009934,            0.009934,            0.009934
                   6,            0.047545,            0.012098,           0.0071839,              0.8181,             0.66758,             0.74051,             0.29466,            0.050402,            0.008193,           0.0065087,           0.0099175,           0.0099175,           0.0099175
                   7,            0.046832,            0.012357,           0.0070845,             0.86087,             0.76839,             0.84544,              0.3376,            0.044976,            0.007055,           0.0063804,            0.009901,            0.009901,            0.009901
                   8,            0.043605,            0.011589,           0.0066389,             0.90611,             0.79753,             0.86055,             0.38282,            0.042695,           0.0075222,           0.0055931,           0.0098845,           0.0098845,           0.0098845
                   9,            0.043339,            0.011563,           0.0064477,             0.89995,             0.84899,             0.90763,             0.44085,            0.040319,           0.0070295,             0.00365,            0.009868,            0.009868,            0.009868
                  10,            0.041333,            0.011216,           0.0048799,             0.90691,             0.87461,              0.9141,              0.4362,            0.041436,           0.0066974,           0.0046858,           0.0098515,           0.0098515,           0.0098515
                  11,            0.040851,            0.011139,           0.0057888,              0.9282,             0.90265,             0.95063,             0.43078,            0.038472,           0.0063526,           0.0027979,            0.009835,            0.009835,            0.009835
                  12,            0.041667,            0.010887,           0.0051776,             0.88739,             0.73583,             0.82568,             0.34061,            0.048053,           0.0074287,           0.0046851,           0.0098185,           0.0098185,           0.0098185
                  13,            0.039742,            0.010795,           0.0053668,             0.91261,             0.88019,             0.93224,             0.45982,            0.036979,            0.006499,           0.0051573,            0.009802,            0.009802,            0.009802
                  14,            0.039368,            0.010774,           0.0050954,             0.92575,             0.92336,             0.94686,             0.48803,            0.036037,           0.0063765,           0.0028542,           0.0097855,           0.0097855,           0.0097855
                  15,            0.039734,            0.010526,           0.0054096,              0.9369,             0.90111,             0.94723,             0.48029,            0.035992,           0.0061127,           0.0025946,            0.009769,            0.009769,            0.009769
                  16,            0.038513,            0.010389,           0.0046583,             0.93408,             0.90432,             0.95018,             0.50089,            0.035317,           0.0061904,           0.0029448,           0.0097525,           0.0097525,           0.0097525
                  17,            0.038662,            0.010707,           0.0040834,             0.89877,             0.92457,             0.94906,              0.5002,            0.034946,           0.0063643,           0.0022039,            0.009736,            0.009736,            0.009736
                  18,            0.038009,            0.010557,           0.0044819,             0.93774,             0.93874,             0.96742,             0.52223,            0.033849,           0.0059369,            0.002211,           0.0097195,           0.0097195,           0.0097195
                  19,            0.037863,             0.01041,           0.0045889,             0.94478,             0.91273,             0.95714,             0.50712,            0.035235,           0.0058198,           0.0027272,            0.009703,            0.009703,            0.009703
                  20,            0.037419,            0.010057,           0.0049527,             0.96346,              0.8971,             0.96268,             0.52081,            0.034402,           0.0060556,           0.0030142,           0.0096865,           0.0096865,           0.0096865
                  21,            0.036916,            0.010255,            0.004317,              0.9055,             0.91835,             0.95609,             0.49049,            0.034789,           0.0062605,           0.0029636,             0.00967,             0.00967,             0.00967
                  22,            0.036441,            0.010393,           0.0043784,              0.9574,             0.92845,             0.96898,             0.53501,            0.033243,           0.0059874,           0.0016645,           0.0096535,           0.0096535,           0.0096535
                  23,            0.036282,           0.0097886,           0.0042389,             0.94165,             0.93207,             0.95999,             0.52259,            0.034257,           0.0058583,           0.0018283,            0.009637,            0.009637,            0.009637
                  24,            0.035643,            0.010193,           0.0040863,             0.94431,             0.93612,             0.96931,             0.52055,            0.035236,           0.0057895,           0.0020451,           0.0096205,           0.0096205,           0.0096205
                  25,            0.036169,            0.010257,           0.0038984,             0.94981,             0.95466,             0.97927,             0.54295,            0.032347,           0.0057349,           0.0016706,            0.009604,            0.009604,            0.009604
                  26,            0.035371,            0.010221,           0.0033921,             0.94348,             0.94177,             0.97216,             0.53675,            0.032215,           0.0057034,           0.0022896,           0.0095875,           0.0095875,           0.0095875
                  27,            0.034542,            0.009918,           0.0037719,             0.95657,             0.94552,             0.97886,             0.56686,            0.031743,           0.0055852,           0.0021521,            0.009571,            0.009571,            0.009571
                  28,             0.03567,            0.009891,           0.0032429,             0.95674,             0.95748,             0.98023,              0.5385,            0.032729,           0.0055858,           0.0012393,           0.0095545,           0.0095545,           0.0095545
                  29,            0.035039,           0.0099151,            0.003313,             0.94952,             0.95594,             0.97672,               0.551,            0.032703,           0.0058202,           0.0014374,            0.009538,            0.009538,            0.009538
                  30,            0.034655,            0.010108,           0.0038625,              0.9636,             0.96323,             0.98401,             0.57211,             0.03088,           0.0053535,           0.0017773,           0.0095215,           0.0095215,           0.0095215
                  31,            0.034511,            0.010102,           0.0036137,              0.9655,             0.96799,             0.98288,             0.58983,            0.030443,           0.0054037,           0.0011728,            0.009505,            0.009505,            0.009505
                  32,            0.034771,           0.0097647,           0.0030918,             0.95325,             0.93853,             0.97729,             0.56501,            0.031166,           0.0056023,           0.0017063,           0.0094885,           0.0094885,           0.0094885
                  33,            0.034713,           0.0099106,           0.0036984,             0.96056,             0.95193,             0.98105,              0.5367,            0.032361,           0.0055017,           0.0011761,            0.009472,            0.009472,            0.009472
                  34,            0.033377,           0.0098616,           0.0033269,             0.96976,             0.96002,              0.9839,             0.55581,            0.031067,           0.0054321,           0.0013756,           0.0094555,           0.0094555,           0.0094555
                  35,            0.033802,           0.0095995,           0.0029784,             0.96789,             0.97499,             0.98929,             0.59332,            0.029532,           0.0053175,           0.0013482,            0.009439,            0.009439,            0.009439
                  36,            0.033931,           0.0096069,           0.0028451,             0.97042,             0.97068,             0.98849,             0.58481,            0.029909,           0.0052392,          0.00080918,           0.0094225,           0.0094225,           0.0094225
                  37,            0.033495,           0.0097757,           0.0030676,              0.9647,             0.97047,              0.9866,             0.60041,              0.0294,           0.0052303,          0.00082956,            0.009406,            0.009406,            0.009406
                  38,            0.033214,           0.0092555,            0.002797,             0.96276,             0.96583,             0.98716,             0.61347,            0.028474,           0.0052462,           0.0016482,           0.0093895,           0.0093895,           0.0093895
                  39,            0.032525,           0.0094209,           0.0027958,             0.96276,             0.98245,             0.98984,             0.59554,            0.029276,           0.0051512,          0.00089646,            0.009373,            0.009373,            0.009373
