               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10004,            0.019707,            0.028029,             0.12413,             0.16703,            0.065312,             0.01529,            0.070454,            0.015356,            0.025874,           0.0032381,           0.0032381,            0.070857
                   1,            0.073708,             0.01933,            0.022673,            0.081356,             0.40036,            0.066335,            0.012452,            0.085068,            0.010255,            0.013686,           0.0065584,           0.0065584,            0.040844
                   2,            0.069591,            0.017496,            0.014609,             0.29856,             0.54816,             0.34068,            0.093872,            0.069524,            0.015672,            0.012523,           0.0098655,           0.0098655,            0.010818
                   3,            0.060257,            0.014884,            0.011098,             0.46867,             0.30344,             0.30372,            0.086555,             0.07469,            0.011136,            0.021528,           0.0099406,           0.0099406,           0.0099406
                   4,            0.054089,            0.013429,           0.0099172,             0.66934,             0.62958,             0.60576,              0.1895,            0.057267,           0.0086626,           0.0097519,           0.0099406,           0.0099406,           0.0099406
                   5,             0.05078,            0.013112,           0.0085388,             0.73489,              0.7463,             0.74248,             0.26192,            0.049568,           0.0080075,           0.0061685,           0.0099208,           0.0099208,           0.0099208
                   6,            0.047639,            0.012146,           0.0075739,             0.77767,             0.61111,             0.67071,             0.25237,            0.055428,           0.0086129,           0.0092483,            0.009901,            0.009901,            0.009901
                   7,            0.046619,            0.012351,           0.0074532,             0.87319,             0.66759,             0.80314,             0.36285,            0.044555,           0.0075843,            0.015899,           0.0098812,           0.0098812,           0.0098812
                   8,              0.0437,            0.011711,           0.0070634,             0.89805,             0.83568,             0.89895,             0.41483,            0.040202,           0.0068769,           0.0063201,           0.0098614,           0.0098614,           0.0098614
                   9,            0.043685,            0.011708,           0.0069448,             0.80613,             0.79915,             0.86821,             0.41756,            0.040626,           0.0075772,           0.0051283,           0.0098416,           0.0098416,           0.0098416
                  10,            0.040821,            0.011198,           0.0055245,             0.90379,             0.82443,             0.88779,             0.42242,            0.040237,           0.0071605,           0.0041774,           0.0098218,           0.0098218,           0.0098218
                  11,            0.041316,            0.011221,           0.0063495,             0.90667,             0.87896,             0.92263,             0.43423,            0.038504,           0.0066519,           0.0037743,            0.009802,            0.009802,            0.009802
                  12,            0.041285,            0.011007,           0.0056957,             0.92813,             0.88097,             0.94009,             0.46463,            0.037267,           0.0065399,           0.0031223,           0.0097822,           0.0097822,           0.0097822
                  13,            0.039782,            0.010833,           0.0056916,             0.90749,             0.85149,             0.89897,             0.40453,              0.0444,           0.0063791,           0.0026977,           0.0097624,           0.0097624,           0.0097624
                  14,            0.039831,            0.010763,           0.0049657,             0.93191,             0.88042,             0.93119,             0.47132,            0.036799,           0.0066294,           0.0026795,           0.0097426,           0.0097426,           0.0097426
                  15,            0.039109,            0.010591,            0.005682,             0.93793,             0.91302,             0.95814,             0.49356,            0.035286,           0.0062984,           0.0025571,           0.0097228,           0.0097228,           0.0097228
                  16,            0.039441,            0.010522,           0.0052859,             0.94265,             0.89892,              0.9414,             0.48387,            0.036846,            0.006376,           0.0028287,            0.009703,            0.009703,            0.009703
                  17,            0.039073,            0.010827,           0.0047937,             0.93311,             0.91901,             0.96134,             0.49832,            0.034607,           0.0059966,           0.0024269,           0.0096832,           0.0096832,           0.0096832
                  18,            0.037907,            0.010578,           0.0042222,             0.91312,             0.89153,             0.93493,             0.46925,            0.036508,           0.0063707,           0.0027669,           0.0096634,           0.0096634,           0.0096634
                  19,            0.037889,            0.010528,           0.0045916,             0.94973,             0.89161,             0.94689,             0.49894,             0.03697,           0.0060718,            0.002286,           0.0096436,           0.0096436,           0.0096436
