               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12568,            0.015932,            0.029548,           0.0022812,            0.013025,          0.00011189,          2.1116e-05,             0.11962,            0.014245,            0.028897,              0.0015,              0.0015,              0.0865
                   1,             0.11145,            0.018242,            0.028003,           0.0014292,            0.095378,          0.00064435,          0.00010453,            0.093941,            0.016752,            0.026998,           0.0030693,           0.0030693,            0.072069
                   2,            0.098811,            0.019229,            0.027296,           0.0028482,            0.052941,           0.0015683,          0.00034295,            0.084168,            0.016888,            0.025325,           0.0046069,           0.0046069,            0.057607
                   3,            0.093639,            0.021688,            0.026057,           0.0055954,             0.14958,           0.0033284,          0.00057766,             0.08759,            0.015409,            0.024622,           0.0061129,           0.0061129,            0.043113
                   4,            0.091951,            0.018408,             0.02469,            0.020305,             0.14244,           0.0090547,           0.0016121,            0.091998,            0.013373,            0.023489,           0.0075872,           0.0075872,            0.028587
                   5,            0.090756,            0.018824,            0.024109,            0.012448,            0.086134,           0.0054029,          0.00097304,            0.090113,             0.01318,            0.022813,           0.0090297,           0.0090297,             0.01403
                   6,            0.086653,            0.019286,            0.022915,            0.015156,             0.12143,           0.0065903,           0.0012342,            0.082669,            0.013107,            0.021551,            0.009406,            0.009406,            0.009406
                   7,            0.093047,            0.016172,            0.023884,           0.0070625,             0.25714,           0.0042455,          0.00079105,             0.11008,           0.0092012,             0.02231,            0.009406,            0.009406,            0.009406
                   8,            0.090519,            0.015805,             0.02331,            0.031202,             0.12605,            0.011992,           0.0020598,            0.088721,            0.011342,            0.022404,            0.009307,            0.009307,            0.009307
                   9,            0.085415,             0.01694,            0.022017,             0.68351,              0.1535,            0.095423,            0.015056,             0.08322,            0.012158,            0.020766,            0.009208,            0.009208,            0.009208
