               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13028,            0.015138,            0.029987,                   0,                   0,                   0,                   0,              0.1357,            0.011588,            0.029676,                   0,                   0,                 0.1
                   1,             0.13055,            0.014664,            0.030709,          3.9287e-05,           0.0071429,          1.4028e-05,          1.4028e-06,             0.13512,            0.011817,            0.029821,          9.9505e-05,          9.9505e-05,              0.0991
                   2,              0.1313,            0.015176,            0.030128,          4.8152e-05,           0.0071429,          1.4132e-05,          1.4132e-06,             0.13256,            0.012013,            0.029565,          0.00019802,          0.00019802,            0.098198
                   3,             0.12756,            0.015465,            0.030334,          5.0268e-05,           0.0071429,          1.4269e-05,          1.4269e-06,             0.12784,            0.012363,             0.02919,          0.00029554,          0.00029554,            0.097296
                   4,             0.12517,            0.014994,            0.030335,          0.00010665,            0.014286,          2.9833e-05,          4.5067e-06,             0.12074,            0.012942,            0.028714,          0.00039208,          0.00039208,            0.096392
                   5,              0.1206,            0.016787,            0.029492,          0.00084749,           0.0058824,          6.9934e-05,          1.2934e-05,             0.11302,            0.013615,            0.028215,          0.00048762,          0.00048762,            0.095488
                   6,             0.11523,            0.017223,            0.028616,           0.0024005,            0.017647,          0.00026688,          4.7614e-05,              0.1052,            0.014342,            0.027701,          0.00058218,          0.00058218,            0.094582
                   7,             0.11231,            0.019246,             0.02867,           0.0031808,            0.017647,          0.00054551,          8.7827e-05,            0.098606,            0.015027,            0.027282,          0.00067574,          0.00067574,            0.093676
                   8,             0.10655,            0.019083,            0.027792,           0.0020792,            0.070588,          0.00079949,          0.00013759,            0.093664,             0.01536,            0.026821,          0.00076832,          0.00076832,            0.092768
                   9,             0.10201,            0.019972,            0.026993,            0.002397,            0.082353,           0.0010674,          0.00016438,            0.090968,            0.015337,            0.026343,          0.00085991,          0.00085991,             0.09186
                  10,            0.099534,            0.021164,            0.027319,           0.0029845,            0.070588,           0.0010559,           0.0001698,            0.087644,            0.015264,            0.025983,           0.0009505,           0.0009505,            0.090951
                  11,            0.095853,            0.019469,            0.025962,           0.0028202,            0.058824,           0.0014862,          0.00026054,            0.083943,            0.015186,            0.025853,           0.0010401,           0.0010401,             0.09004
                  12,            0.090936,            0.022002,            0.025076,            0.004237,             0.11176,           0.0029715,          0.00059707,            0.081713,            0.014997,             0.02583,           0.0011287,           0.0011287,            0.089129
                  13,            0.090517,            0.021449,            0.025225,           0.0062476,            0.070588,           0.0035842,          0.00058192,            0.081634,            0.014666,            0.025812,           0.0012163,           0.0012163,            0.088216
                  14,            0.087093,            0.022528,            0.025368,            0.014073,             0.15294,           0.0094606,            0.001569,            0.077571,            0.014593,            0.025641,            0.001303,            0.001303,            0.087303
                  15,            0.084524,            0.022085,            0.024502,           0.0013497,             0.24958,           0.0011469,          0.00026252,            0.091696,            0.012912,            0.025583,           0.0013886,           0.0013886,            0.086389
                  16,            0.089074,            0.020673,            0.025206,           0.0090824,            0.088235,            0.004821,          0.00074291,            0.083793,            0.013146,            0.025042,           0.0014733,           0.0014733,            0.085473
                  17,            0.091027,            0.020386,            0.024016,            0.010087,             0.11176,           0.0065902,            0.001168,            0.077399,            0.013679,             0.02484,           0.0015569,           0.0015569,            0.084557
                  18,            0.080559,            0.021913,             0.02359,            0.040257,             0.16471,            0.026128,           0.0053139,            0.076322,            0.013106,             0.02467,           0.0016396,           0.0016396,             0.08364
                  19,              0.0792,            0.021568,            0.023463,             0.00378,             0.13529,           0.0041222,          0.00087712,            0.086704,             0.01216,            0.024493,           0.0017213,           0.0017213,            0.082721
                  20,            0.084592,            0.018595,            0.023656,           0.0038638,             0.13529,           0.0041386,          0.00091001,            0.086509,            0.012159,            0.024458,            0.001802,            0.001802,            0.081802
                  21,            0.085372,            0.021944,            0.023663,             0.02022,            0.017647,           0.0060227,           0.0009506,            0.095016,            0.010452,            0.025371,           0.0018817,           0.0018817,            0.080882
                  22,             0.09137,            0.016247,            0.022903,            0.013453,            0.070588,            0.011362,           0.0022945,            0.082277,            0.011612,             0.02469,           0.0019604,           0.0019604,             0.07996
                  23,             0.08244,            0.019448,            0.022737,            0.028989,             0.21765,             0.02433,           0.0042918,            0.072847,            0.012408,            0.024275,           0.0020381,           0.0020381,            0.079038
                  24,            0.073108,            0.020502,            0.022969,            0.037301,             0.11176,             0.02893,            0.005902,            0.086531,            0.010703,             0.02432,           0.0021149,           0.0021149,            0.078115
                  25,            0.079344,            0.019093,            0.021037,            0.017987,             0.11176,             0.01336,           0.0020514,             0.07936,            0.011464,            0.023846,           0.0021906,           0.0021906,            0.077191
                  26,            0.081166,            0.018901,            0.021699,             0.62675,            0.064706,            0.036363,           0.0055699,            0.080779,            0.010718,            0.024048,           0.0022654,           0.0022654,            0.076265
                  27,            0.077248,            0.018698,            0.020253,            0.024957,             0.55798,            0.027115,           0.0043204,            0.083574,            0.010302,            0.023152,           0.0023391,           0.0023391,            0.075339
                  28,            0.077289,            0.018938,             0.02078,            0.019131,             0.28361,            0.013127,           0.0022259,             0.09099,           0.0093239,            0.023517,           0.0024119,           0.0024119,            0.074412
                  29,            0.082852,            0.018817,             0.01976,             0.13214,             0.14244,            0.053885,           0.0078386,            0.074851,            0.010876,            0.022198,           0.0024837,           0.0024837,            0.073484
                  30,            0.070438,            0.022822,            0.020708,              0.1854,             0.19538,             0.10979,            0.024304,            0.069295,            0.011284,            0.020702,           0.0025545,           0.0025545,            0.072554
                  31,            0.067946,            0.020121,             0.01942,            0.047851,             0.43277,            0.040191,           0.0065671,            0.083364,           0.0095285,            0.019568,           0.0026243,           0.0026243,            0.071624
                  32,            0.072718,            0.019093,            0.018017,            0.072533,             0.28739,            0.046839,           0.0096799,            0.081043,              0.0103,            0.017113,           0.0026931,           0.0026931,            0.070693
                  33,            0.071773,            0.020683,            0.016741,             0.18122,             0.26513,             0.11889,            0.021399,            0.076566,           0.0099723,            0.015863,           0.0027609,           0.0027609,            0.069761
                  34,            0.073231,            0.018971,            0.018083,             0.12813,             0.27605,            0.099826,            0.016729,            0.082271,           0.0095532,            0.014985,           0.0028278,           0.0028278,            0.068828
                  35,            0.071867,            0.020771,            0.017509,              0.1103,             0.30168,            0.076678,            0.014299,             0.07574,           0.0097858,            0.015934,           0.0028936,           0.0028936,            0.067894
                  36,            0.071756,            0.018035,            0.015279,              0.3036,             0.30966,             0.24263,            0.067191,              0.0765,           0.0096053,            0.011449,           0.0029585,           0.0029585,            0.066958
