               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13199,            0.014392,            0.030215,           2.721e-05,            0.003012,          5.8874e-06,          1.7662e-06,              0.1342,            0.012174,            0.029741,              0.0002,              0.0002,              0.0982
                   1,             0.12692,            0.015136,            0.029707,          5.5592e-05,           0.0053595,          2.3257e-05,          5.9159e-06,             0.11811,            0.014036,            0.028583,          0.00049752,          0.00049752,            0.095498
                   2,             0.11437,            0.017434,            0.028941,          0.00068848,            0.034193,          0.00035615,           7.446e-05,            0.098532,            0.016325,            0.027234,          0.00079208,          0.00079208,            0.092792
                   3,             0.10375,            0.018059,            0.027217,           0.0011715,            0.013066,          0.00055117,          0.00010027,            0.090961,            0.016473,            0.026103,           0.0010837,           0.0010837,            0.090084
                   4,            0.094978,            0.020089,            0.025558,           0.0031944,            0.099256,           0.0017896,          0.00028119,            0.084783,            0.016439,            0.025716,           0.0013723,           0.0013723,            0.087372
                   5,            0.089845,            0.021554,            0.024393,            0.014704,             0.08216,           0.0083731,           0.0014974,            0.079248,            0.016041,            0.025229,           0.0016579,           0.0016579,            0.084658
                   6,            0.088318,            0.020243,            0.023957,            0.023037,            0.066392,           0.0090577,           0.0013595,            0.090869,            0.013369,            0.024906,           0.0019406,           0.0019406,            0.081941
                   7,            0.086113,            0.018713,              0.0237,            0.057751,             0.11268,            0.036387,           0.0067641,            0.075498,            0.014728,            0.023622,           0.0022203,           0.0022203,             0.07922
                   8,             0.08174,            0.020758,            0.022936,            0.012753,              0.2002,            0.010187,           0.0016115,            0.081465,            0.013703,            0.023794,            0.002497,            0.002497,            0.076497
                   9,             0.08462,            0.017603,            0.021114,            0.026121,             0.34561,            0.019142,           0.0029883,            0.086652,            0.011513,            0.021467,           0.0027708,           0.0027708,            0.073771
                  10,            0.080143,            0.018528,            0.018982,             0.10455,             0.20423,            0.080253,             0.01662,            0.080328,            0.011845,            0.019081,           0.0030416,           0.0030416,            0.071042
                  11,            0.078738,             0.01794,            0.016684,            0.063928,             0.13411,            0.030701,           0.0047288,            0.090925,            0.010783,            0.015823,           0.0033094,           0.0033094,            0.068309
                  12,            0.076875,            0.019329,            0.015456,             0.10362,             0.22433,            0.077025,            0.011893,            0.082175,            0.010705,            0.012843,           0.0035743,           0.0035743,            0.065574
                  13,            0.075951,            0.017493,            0.014507,             0.20466,              0.2766,             0.13737,            0.026276,            0.076166,            0.011139,            0.016096,           0.0038362,           0.0038362,            0.062836
                  14,            0.072075,            0.016849,            0.015436,             0.13458,             0.40257,              0.1087,            0.017553,            0.081615,            0.010048,            0.013293,           0.0040951,           0.0040951,            0.060095
                  15,            0.079196,            0.014855,            0.012632,              0.1115,             0.26638,            0.065796,             0.01286,            0.091601,            0.008629,            0.017132,            0.004351,            0.004351,            0.057351
                  16,            0.081503,             0.01534,            0.009758,             0.14429,             0.25653,             0.11889,            0.016491,            0.095018,           0.0086052,            0.010454,            0.004604,            0.004604,            0.054604
                  17,            0.083331,            0.014581,           0.0089705,             0.28713,             0.32878,                0.17,            0.039199,            0.087843,            0.009713,           0.0095647,            0.004854,            0.004854,            0.051854
                  18,            0.072098,            0.016526,            0.010038,             0.30553,             0.48823,             0.24548,            0.056279,            0.071592,            0.010079,           0.0070838,            0.005101,            0.005101,            0.049101
                  19,            0.066894,            0.015658,            0.010969,              0.1906,             0.38755,             0.15594,            0.032067,            0.082893,           0.0090219,           0.0058468,           0.0053451,           0.0053451,            0.046345
                  20,            0.076451,            0.013646,           0.0079987,             0.12533,             0.47477,             0.10113,            0.015734,            0.089047,           0.0083835,            0.013715,           0.0055862,           0.0055862,            0.043586
                  21,            0.079958,            0.013924,           0.0076334,             0.55204,             0.36962,              0.3882,             0.10163,            0.081098,           0.0090941,            0.008171,           0.0058243,           0.0058243,            0.040824
                  22,            0.066032,            0.015604,            0.010563,              0.3379,             0.52478,             0.31921,            0.077266,            0.067141,           0.0094618,           0.0081122,           0.0060595,           0.0060595,            0.038059
                  23,            0.065614,            0.013079,           0.0081003,             0.19554,             0.55783,             0.16504,            0.037041,              0.0777,           0.0081937,           0.0081781,           0.0062917,           0.0062917,            0.035292
                  24,            0.067394,             0.01354,           0.0075054,             0.17549,             0.48664,             0.17212,            0.037788,            0.076888,           0.0080497,           0.0070491,           0.0065209,           0.0065209,            0.032521
                  25,            0.065991,            0.011696,           0.0079776,             0.25663,             0.35525,             0.20463,            0.041913,            0.079394,            0.008142,           0.0099358,           0.0067471,           0.0067471,            0.029747
